title,text,movie,final_annotation,Unnamed: 4,round1,combined
When did you realize Barbillion would happen?,"Barbillion believers, what convinced you that Barbie will hit the 1b club?",barbie,BOX_OFFICE,VIEWING_FORMAT,BOX_OFFICE_SOLO,"when did you realize barbillion would happen?. barbillion believers, what convinced you that barbie will hit the 1b club?"
"The pre-sale of Barbie in Brazil is crazy. That's 16 times more than Fast &amp; Furious 10 pre-orders (biggest domestic debut of the year), The Flash, The Little Mermaid and Spider-Man at the same point.",Via- BOT,barbie,BOX_OFFICE,,BOX_OFFICE_SOLO,"the pre-sale of barbie in brazil is crazy. that's 16 times more than fast &amp; furious 10 pre-orders (biggest domestic debut of the year), the flash, the little mermaid and spider-man at the same point.. via- bot"
"Now that Oppenheimer has an A Cinemascore, what are your domestic total predictions?",Title,oppenheimer,BOX_OFFICE,,BOX_OFFICE_SOLO,"now that oppenheimer has an a cinemascore, what are your domestic total predictions?. title"
Mission Impossible Underperformance,"It’s looking like Mission Impossible might underperform, but should this be judged this way. I just checked Fallout and the budget was 175 million as opposed to 290 million for the newest one, Covid clearly effected the budget for the newest one. Should the movies performance be judged as an outlier in that case?",mission_impossible,BOX_OFFICE,,BARBENHEIMER_VS_OTHERS,"mission impossible underperformance. it’s looking like mission impossible might underperform, but should this be judged this way. i just checked fallout and the budget was 175 million as opposed to 290 million for the newest one, covid clearly effected the budget for the newest one. should the movies performance be judged as an outlier in that case?"
Best opening day of 2023 for Barbie in Italy!,It beats Mario which opened with opened with 1.256.759 €,barbie,BOX_OFFICE,,BOX_OFFICE_SOLO,best opening day of 2023 for barbie in italy!. it beats mario which opened with opened with 1.256.759 €
How much will Barbie do in overseas markets combined? Is 800-million internationally possible?,I believe it will get to 600+ this weekend but is 800-million possible?,barbie,BOX_OFFICE,,BOX_OFFICE_SOLO,how much will barbie do in overseas markets combined? is 800-million internationally possible?. i believe it will get to 600+ this weekend but is 800-million possible?
My theaters numbers for today. BARBIE is our biggest opening day ever (theater has been open since 2002). Oppenheimer has a pretty good start and very strong hold for Sound of Freedom. Everything else are second choices for sell out from Barbie. [see comparison in comments],"I wanted to share this because BARBIE is the #1 opening day EVER for my theater by quite the margin. Listed below are recent blockbuster opening days. I haven’t posted in recent weeks because I discourage any political commentary for Sound of Freedom. It’s all about the numbers, not about the movies or actors involved themselves. Everything else did respectable numbers because people got sold out of Barbie.",barbie,BOX_OFFICE,,BOX_OFFICE_SOLO,"my theaters numbers for today. barbie is our biggest opening day ever (theater has been open since 2002). oppenheimer has a pretty good start and very strong hold for sound of freedom. everything else are second choices for sell out from barbie. [see comparison in comments]. i wanted to share this because barbie is the #1 opening day ever for my theater by quite the margin. listed below are recent blockbuster opening days. i haven’t posted in recent weeks because i discourage any political commentary for sound of freedom. it’s all about the numbers, not about the movies or actors involved themselves. everything else did respectable numbers because people got sold out of barbie."
"Barbie will be a blockbuster, judging from open caption presales.","The open caption presales for Barbie just rose to a 5.06 ticket to screentime ratio.  So far, 1,507 tickets sold for 298 open caption screentimes. So it has already hit the 5.0 ticket to screentime threshold to qualify as a blockbuster. 

What is it about the Barbie movie that makes people want to see it? Speaking for myself only, I see the picture used to promote the movie on theater sites and it just looks like a fun movie. That's what it looks like based on the picture alone without regard for the trailers. Who doesn't want to see a fun movie?",barbie,BOX_OFFICE,,BOX_OFFICE_SOLO,"barbie will be a blockbuster, judging from open caption presales.. the open caption presales for barbie just rose to a 5.06 ticket to screentime ratio.  so far, 1,507 tickets sold for 298 open caption screentimes. so it has already hit the 5.0 ticket to screentime threshold to qualify as a blockbuster. 

what is it about the barbie movie that makes people want to see it? speaking for myself only, i see the picture used to promote the movie on theater sites and it just looks like a fun movie. that's what it looks like based on the picture alone without regard for the trailers. who doesn't want to see a fun movie?"
What's with all the people claiming that they think Barbie could do a billion?,"Yes it's a social media meme, Yes there's tons of well known actors in it but I just don't think it'll make that much. Both Barbie and Oppenheimer will do strong numbers and the double feature meme and strong marketing of the two movies is helping both movies for sure but neither will make a billion. Both will probably make around 500M WW",barbie,BOX_OFFICE,,BOX_OFFICE_SOLO,"what's with all the people claiming that they think barbie could do a billion?. yes it's a social media meme, yes there's tons of well known actors in it but i just don't think it'll make that much. both barbie and oppenheimer will do strong numbers and the double feature meme and strong marketing of the two movies is helping both movies for sure but neither will make a billion. both will probably make around 500m ww"
Barbie has outgrossed Spider-Man: Across the Spider-Verse to become the highest grossing film of the summer domestically,"Barbie (current) - $381,724,676  
Spider-Man: Across the Spider-Verse (current) - $379,256,240",barbie,BOX_OFFICE,,BOX_OFFICE_SOLO,"barbie has outgrossed spider-man: across the spider-verse to become the highest grossing film of the summer domestically. barbie (current) - $381,724,676  
spider-man: across the spider-verse (current) - $379,256,240"
